Product Name,Brand,Category,SKU,EAN,Ingredients,Size/Packaging,Product Image URL,Product Page URL
Medi-Peel - Peptide 9 Volume and Tension Tox Cream Pro - 50g,MEDI-PEEL,Bulk Moisturizer,MEDIPEEL-16,8.80994E+12,"Peptide 9 Complex- boosts collagen, firms the skin, smooths wrinkles, Volufiline- enhances volume and improves facial contours, botox-like peptides- smooth fine lines and relax expression wrinkles, niacinamide- brightens, evens tone, strengthens the barrier, hyaluronic acid- hydrates deeply and plumps the complexion, panthenol- soothes, softens, and enhances comfort.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/XXL_p0201918113-600x600.webp,https://qudobeauty.com/product/medi-peel-peptide-9-volume-and-tension-tox-cream-pro-50g/
Medi-Peel - Gold Age Tox H8 Cream - 50g,MEDI-PEEL,Bulk Moisturizer,MEDIPEEL-13,8.80941E+12,"24K gold- brightens, revitalizes, supports microcirculation, peptide complexes- boost collagen, firm the skin, smooth wrinkles, Volufiline- enhances volume and improves facial contours, niacinamide- brightens, evens tone, strengthens the barrier, hyaluronic acid- hydrates deeply and plumps the complexion, panthenol- soothes, softens, and improves comfort.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/crema-anti-rid-iluminatoare-gold-age-tox-50-g-medi-peel-8809409347004-1894-1-600x600.jpg,https://qudobeauty.com/product/medi-peel-gold-age-tox-h8-cream-50g/
LION - Pair Acne Cream W - 24g,LION,Bulk Moisturizer,LION-02,4.9033E+12,"Ibuprofen Piconol (IPPN)- helps reduce swelling and inflammation associated with acne lesions. Isopropyl Methylphenol (IPMP)- an antibacterial agent that fights acne-causing bacteria to help control breakouts. Moisturizing Gel-Cream Base- transforms to a transparent serum upon application, ensuring good spreadability and compatibility with makeup. Skin-Compatible pH & Mild Formula- formulated for gentle, comfortable use on sensitive or blemish-prone skin.",24 g,https://qudobeauty.com/wp-content/uploads/2025/09/lion_pair_acne_14g-1-600x600.png,https://qudobeauty.com/product/lion-pair-acne-cream-w-24g-2/
SKIN1004 - Madagascar Centella Probio-Cica Enrich Cream - 50ml,SKIN1004,Bulk Moisturizer,SKIN-22,8.80958E+12,"Centella Asiatica Extract (Fermented + TECA complex)- soothes irritation, supports barrier repair, and promotes skin recovery, Shea Butter- deeply moisturises and nourishes dry, stressed skin, Ceramide NP- reinforces the skin's protective lipids and prevents moisture loss, Macadamia Seed Oil & Moringa Seed Oil- rich botanical oils that enhance elasticity and deliver essential nutrients, Panthenol & Sodium Hyaluronate- hydrate, calm and restore skin softness.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Skin1004-Madagascar-Centella-Probio-Cica-Enrich-Cream.jpg,https://qudobeauty.com/product/skin1004-madagascar-centella-probio-cica-enrich-cream-50ml/
Medicube - PDRN Booster Gel - 300ml,Medicube,Bulk Moisturizer,medicube-48,8.80026E+12,"PDRN- supports regeneration, improves elasticity, revitalizes the skin, hyaluronic acid- deeply hydrates, plumps, and prevents moisture loss, centella asiatica (cica)- soothes irritation, reduces redness, promotes healing, panthenol- moisturizes, softens, and strengthens the barrier, allantoin- calms, smooths, and supports gentle skin recovery.",300 ml,https://qudobeauty.com/wp-content/uploads/2025/08/medicube-pdrn-pink-crema-facial-en-gel-booster-gel-1-89660-600x677.jpg,https://qudobeauty.com/product/medicube-pdrn-booster-gel-300ml/
COSRX - Advanced Snail 92 All In One Cream - 100ml,COSRX,Bulk Moisturizer,COSRX-37,8.80942E+12,"Snail Secretion Filtrate (92%)- rich in proteins, glycolic acid, elastin and other bioactive molecules that help repair the skin barrier, hydrate deeply and enhance elasticity. Sodium Hyaluronate (Hyaluronic Acid)- delivers and locks in moisture across multiple skin layers for long-lasting hydration. Panthenol (Vitamin B5)- calms and supports the skin barrier for improved comfort and resilience. Allantoin- soothes irritation and helps regenerate skin for a healthier feel. Adenosine- aids in smoothing the appearance of fine lines and supports skin's renewal process.",100 ml,https://qudobeauty.com/wp-content/uploads/2025/04/8809416470016-600x600.avif,https://qudobeauty.com/product/cosrx-advanced-snail-92-all-in-one-cream-100ml/
Dr. Althea - Rapid Firm Sculpting Cream - 45ml,Dr. Althea,Bulk Moisturizer,ALTHEA-6,8.80945E+12,"Multi-Peptide Complex- boosts firmness, promotes elasticity, and targets fine lines and early wrinkles. Collagen & Elastin Supporting Ingredients- help improve skin density and resilience for a more sculpted look. Niacinamide- brightens dullness, evens tone, and strengthens the moisture barrier. Hyaluronic Acid- provides deep hydration, keeping the skin supple and plump. Soothing Botanical Extracts- calm irritation and promote overall skin comfort. Nourishing Emollients- soften the skin and help maintain long-lasting moisture.",45 ml,https://qudobeauty.com/wp-content/uploads/2025/04/dr-althea-crema-antiedad-rapid-firm-sculpting-1-87688-600x600.jpeg,https://qudobeauty.com/product/dr-althea-rapid-firm-sculpting-cream-45ml/
Dr. Althea - 147 Cream Barrier - 50 ml,Dr. Althea,Bulk Moisturizer,ALTHEA-3,8.80945E+12,"Ceramide Complex- reinforces the skin's natural barrier, locks in moisture, and protects against external irritants. Centella Asiatica Extract- calms redness, soothes irritation, and supports skin repair. Panthenol (Vitamin B5)- hydrates deeply, strengthens the barrier, and improves overall skin comfort. Hyaluronic Acid- delivers multi-layer hydration for smooth, plump, well-moisturized skin. Botanical Soothing Agents- help reduce sensitivity and promote a balanced, healthy complexion.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/crema-faciala-hidratanta-147-barrier-cream-50ml-dr-althea-2-600x600.jpg,https://qudobeauty.com/product/dr-althea-147-cream-barrier-50-ml/
Medicube - Triple Collagen Cream 4.0 - 50ml,Medicube,Bulk Moisturizer,MEDICUBE-03,8.80026E+12,"Triple Collagen Complex- improves firmness, boosts elasticity, smooths fine lines, niacinamide- brightens, balances tone, strengthens the barrier, hyaluronic acid- hydrates deeply and plumps the complexion, panthenol- soothes, moisturizes, and enhances comfort, nourishing emollients- soften and improve skin texture.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/MEDICUBE-Triple-Collagen-Cream-4.0-50ml-PURESEOUL-UK-KBeauty-Shop-600x600.webp,https://qudobeauty.com/product/medicube-triple-collagen-cream-4-0-50ml/
Beauty of Joseon - Gingseng Essence Water Concentrated Hydrating Essence - 150 ml,Beauty of Joseon,Bulk Moisturizer,JOSEON-16,8.80974E+12,"Ginseng Root Water (80%)- rich in saponins and antioxidants that revitalize the skin, promote firmness, and improve overall tone and resilience. Niacinamide (Vitamin B3)- brightens dull skin, refines pores, and strengthens the barrier for a smoother, more radiant complexion. Panthenol (Vitamin B5)- hydrates deeply and soothes irritation, helping to maintain a healthy moisture balance. Adenosine- supports skin regeneration, reduces fine lines, and enhances elasticity. Green Tea Extract- provides antioxidant protection and calms irritation caused by environmental stress. Hyaluronic Acid- locks in moisture to keep the skin plump, supple, and hydrated throughout the day.",150 ml,https://qudobeauty.com/wp-content/uploads/2025/04/1_2-600x600.jpg,https://qudobeauty.com/product/beauty-of-joseon-gingseng-essence-water-concentrated-hydrating-essence-150-ml/
Dr. Althea - Reju 5000 Cream - 20ml,Dr. Althea,Bulk Moisturizer,ALTHEA-48,8.80945E+12,"Peptide Complex 5000 ppm- boosts collagen production, enhances elasticity, and improves firmness for visibly smoother skin. Niacinamide- brightens dull skin, reduces uneven tone, and supports a stronger moisture barrier. Adenosine- helps reduce the appearance of fine lines and improves skin resilience. Hyaluronic Acid- provides deep hydration, keeping the skin plump and supple. Botanical Extracts- soothe, nourish, and offer antioxidant protection. Rich yet Lightweight Cream Base- absorbs comfortably without heaviness, ideal for daily use.",20 ml,https://qudobeauty.com/wp-content/uploads/2025/11/XXL_p0221889099-600x600.webp,https://qudobeauty.com/product/dr-althea-reju-5000-cream-20ml/
K-SECRET - SEOUL 1988 Cream : Retinal Liposome 1% + Fermented Rice - 50ml,K-secret,Bulk Moisturizer,KSECRET-06,8.8097E+12,"Retinal Liposome 1%- a potent Vitamin A derivative encapsulated for better stability and gentler delivery to promote renewal, smooth texture, and improve firmness. Fermented Rice Extract- enriched with amino acids and nutrients that brighten the skin, improve moisture retention, and support barrier health. Peptide Complex & Bakuchiol- boost collagen production, enhance elasticity, and support skin resilience. Antioxidant Vitamins (C & E) & Herbal Root Extracts- protect against oxidative stress and improve radiance. Smooth Cream Texture- rich yet rapidly absorbed, leaving a smooth finish without heaviness.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/07/KSECRET-Seoul-1988-Cream_-Retinal-Liposome-1-Fermented-Rice-50ml-1-600x600.jpg,https://qudobeauty.com/product/k-secret-seoul-1988-cream-retinal-liposome-1-fermented-rice-50ml/
I'm from - Rice Cream - 50g,I'M FROM,Bulk Moisturizer,IF-03,8.80953E+12,"Yeoju Rice Bran Extract (Brightening Complex)- rich in vitamins, amino acids, and antioxidants that brighten dullness and support a healthy, glowing complexion. Ceramides- reinforce the skin barrier, prevent moisture loss, and improve resilience. Niacinamide- enhances brightness, refines uneven tone, and strengthens overall skin texture. Hyaluronic Acid & Glycerin- deliver deep hydration and keep the skin plump and smooth. Lightweight Cream Texture- moisturizes without heaviness, suitable for daily use.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/images-59.jpeg,https://qudobeauty.com/product/im-from-rice-cream-50g/
SKIN1004 - Madagascar Centella Poremizing Light Gel Cream - 75ml,SKIN1004,Bulk Moisturizer,SKIN-26,8.80958E+12,"Centella Asiatica Extract- calms inflammation, supports barrier repair, and strengthens resilience, Himalayan Pink Salt- mineral-rich exfoliator that helps draw out impurities from pores and prevents enlargement, Niacinamide- refines tone and texture, brightens dull complexion, Aloe Vera Leaf Extract & Witch Hazel- soothe and provide comfort for skin prone to irritation, Humectants (Glycerin, Hyaluronic Acid)- hydrate and maintain moisture without greasiness.",75 ml,https://qudobeauty.com/wp-content/uploads/2025/04/crema-tip-gel-pentru-minimizarea-porilor-75-ml-skin1004-8809576261646-7166-600x600.png,https://qudobeauty.com/product/skin1004-madagascar-centella-poremizing-light-gel-cream-75ml/
Medi-Peel - Power Aqua Cream - 50g,MEDI-PEEL,Bulk Moisturizer,MEDIPEEL-2,8.80941E+12,"hyaluronic acid- deeply hydrates and plumps the skin, marine extracts- soothe, refresh, and revitalize, niacinamide- brightens, evens tone, strengthens the barrier, panthenol- softens, soothes, and improves comfort, moisture-binding ingredients- maintain hydration and elasticity.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/MEDIPEELPOWERAQUA.webp,https://qudobeauty.com/product/medi-peel-power-aqua-cream-50g/
SKIN1004 - Madagascar Centella Cream - 75ml,SKIN1004,Bulk Moisturizer,SKIN-21_2,8.80958E+12,"Centella Asiatica Extract- nourishes and soothes irritated skin while supporting barrier repair, Squalane- mimics natural skin oils to restore softness and protect against dryness, Niacinamide- enhances skin tone and clarity, Shea Butter & Meadowfoam Seed Oil- rich botanical emollients that moisturize and smooth the skin, Ceramide NP & Cholesterol- strengthen the barrier and reduce moisture loss.",75 ml,https://qudobeauty.com/wp-content/uploads/2025/04/images-95.jpeg,https://qudobeauty.com/product/skin1004-madagascar-centella-cream-75ml/
SKIN1004 - Madagasar Centella Quick Calming Pad 70 Pcs,SKIN1004,"Bulk Moisturizer , Cleanser Wholesale",SKIN-35,8.80958E+12,"Centella Asiatica Extract (≈49%)- calms redness, promotes healing, and strengthens the barrier, Panthenol- hydrates, soothes irritation and aids skin recovery, Sodium Hyaluronate- draws in and retains moisture for a plumper feel, Triple-layer large pads- deliver rich essence while fitting facial curves, EWG Green Grade minimal formula- gentle enough for sensitive or reactive skin.",70 pads,https://qudobeauty.com/wp-content/uploads/2025/04/SKIN1004-Madagascar-Centella-Quick-Calming-Pad-70-pads-Korean-Toner-for-Sensitive-Acne-Prone-Skin-PURESEOUL-UK-KBeauty-Shop.webp,https://qudobeauty.com/product/skin1004-madagasar-centella-quick-calming-pad-70-pcs/
Dr. Althea - Aqua Marine Watery Cream - 50ml,Dr. Althea,Bulk Moisturizer,ALTHEA-37,8.80945E+12,"Marine Extracts- rich in minerals and nutrients that help hydrate, nourish, and improve overall skin vitality. Hyaluronic Acid Complex- offers multi-layer hydration, keeping the skin plump, smooth, and moisturized throughout the day. Niacinamide- brightens dullness, refines texture, and strengthens the skin barrier while balancing excess oil. Centella Asiatica Extract- calms irritation, reduces redness, and supports healthy skin recovery. Soothing & Hydrating Botanicals- provide long-lasting comfort and enhance the skin's moisture retention.",50 ml,https://qudobeauty.com/wp-content/uploads/2025/10/aquamarinecream-600x600.webp,https://qudobeauty.com/product/dr-althea-aqua-marine-watery-cream-50ml/
Medi-Peel - Phyto Cica-Nol B5 Calming Drop Gel Cream - 50g,MEDI-PEEL,Bulk Moisturizer,MEDIPEEL-18,8.80941E+12,"centella asiatica (cica)- reduces redness, calms irritation, supports healing, panthenol (B5)- hydrates deeply, repairs the barrier, softens the skin, madecassoside- soothes and protects sensitive or stressed skin, hyaluronic acid- provides moisture and plumps the complexion, phyto-extracts- balance, refresh, and support skin resilience.",50 g,https://qudobeauty.com/wp-content/uploads/2025/04/uspokaivayushhij-krem-medi-peel-phyto-cica-nol-b5-calming-drop-gel-cream-800x800-1-600x600.jpg,https://qudobeauty.com/product/medi-peel-phyto-cica-nol-b5-calming-drop-gel-cream-50g/
Medi-Peel - Retinol Collagen Lifting Anti-Aging Cream - 50 g,MEDI-PEEL,Bulk Moisturizer,medipeel-43,8.80941E+12,"retinol- stimulates cell renewal, smooths wrinkles, improves texture, collagen- enhances firmness, suppleness, and elasticity, peptides- support regeneration and refine aging signs, niacinamide- brightens, evens tone, strengthens the barrier, hyaluronic acid- hydrates deeply and plumps the complexion, panthenol- soothes, softens, and boosts comfort.",50 g,https://qudobeauty.com/wp-content/uploads/2025/10/Snimka-obrazovky-2023-12-22-212935-600x596.jpeg,https://qudobeauty.com/product/medi-peel-retinol-collagen-lifting-anti-aging-cream-50-g/
